When,X,Y,Type
1112725231140798,1103.0,351.0,MOVE
1112725239054379,1142.0,332.0,MOVE
1112725247051877,1184.0,315.0,MOVE
1112725253874533,1222.0,300.0,MOVE
1112725262110501,1261.0,289.0,MOVE
1112725270249874,1299.0,278.0,MOVE
1112725278109120,1335.0,272.0,MOVE
1112725286287131,1369.0,266.0,MOVE
1112725294079364,1400.0,264.0,MOVE
1112725303996092,1437.0,261.0,MOVE
1112725310455308,1453.0,262.0,MOVE
1112725321092277,1472.0,264.0,MOVE
1112725327422296,1492.0,266.0,MOVE
1112725334206918,1517.0,271.0,MOVE
1112725341562660,1534.0,275.0,MOVE
1112725349369986,1553.0,284.0,MOVE
1112725357059586,1568.0,293.0,MOVE
1112725365294951,1580.0,304.0,MOVE
1112725373067864,1591.0,315.0,MOVE
1112725383051606,1600.0,334.0,MOVE
1112725389726955,1605.0,343.0,MOVE
1112725397463041,1607.0,355.0,MOVE
1112725405008352,1607.0,374.0,MOVE
1112725413169459,1605.0,391.0,MOVE
1112725420624211,1598.0,413.0,MOVE
1112725428216009,1589.0,430.0,MOVE
1112725436184528,1578.0,454.0,MOVE
1112725444192893,1564.0,470.0,MOVE
1112725452598507,1547.0,493.0,MOVE
1112725461835446,1525.0,520.0,MOVE
1112725469036635,1508.0,539.0,MOVE
1112725476768496,1489.0,562.0,MOVE
1112725484419458,1466.0,587.0,MOVE
1112725491879040,1443.0,613.0,MOVE
1112725499348886,1420.0,644.0,MOVE
1112725507091614,1399.0,671.0,MOVE
1112725515196574,1379.0,699.0,MOVE
1112725522860818,1364.0,725.0,MOVE
1112725530786474,1352.0,748.0,MOVE
1112725540799194,1342.0,774.0,MOVE
1112725547877828,1337.0,787.0,MOVE
1112725555055473,1334.0,799.0,MOVE
1112725562856158,1335.0,806.0,MOVE
1112725570909198,1338.0,812.0,MOVE
1112725578814327,1343.0,817.0,MOVE
1112725586007668,1348.0,821.0,MOVE
1112725593836124,1359.0,824.0,MOVE
1112725602334711,1373.0,826.0,MOVE
1112725609830517,1400.0,823.0,MOVE
1112725619359656,1447.0,810.0,MOVE
1112725625855699,1472.0,800.0,MOVE
1112725634076574,1500.0,789.0,MOVE
1112725642151349,1531.0,775.0,MOVE
1112725649956864,1561.0,763.0,MOVE
1112725658199473,1590.0,750.0,MOVE
1112725665193586,1620.0,737.0,MOVE
1112725673073962,1648.0,728.0,MOVE
1112725681296648,1676.0,718.0,MOVE
1112725688785209,1699.0,709.0,MOVE
1112725699201820,1725.0,703.0,MOVE
1112725705761253,1736.0,700.0,MOVE
1112725713196686,1747.0,697.0,MOVE
1112725721313118,1758.0,695.0,MOVE
1112725729222473,1764.0,695.0,MOVE
1112725737341923,1769.0,695.0,MOVE
1112725744439272,1772.0,696.0,MOVE
1112725752215808,1775.0,697.0,MOVE
1112725760197610,1776.0,700.0,MOVE
1112725768285062,1777.0,705.0,MOVE
1112725778403434,1767.0,723.0,MOVE
1112725785488105,1751.0,743.0,MOVE
1112725793229626,1729.0,762.0,MOVE
1112725800408477,1707.0,781.0,MOVE
1112725808279194,1684.0,800.0,MOVE
1112725816340687,1662.0,820.0,MOVE
1112725822930306,1642.0,838.0,MOVE
1112725832091176,1626.0,856.0,MOVE
1112725839251312,1612.0,871.0,MOVE
1112725847370159,1602.0,886.0,MOVE
1112725857139579,1595.0,902.0,MOVE
1112725864301527,1593.0,915.0,MOVE
1112725884213468,1593.0,915.0,UP
1112755111058184,1281.0,477.0,DOWN
1112755111240508,1245.0,398.0,MOVE
1112755114750545,1233.0,381.0,MOVE
1112755119190916,1220.0,361.0,MOVE
1112755126276191,1207.0,350.0,MOVE
1112755134481370,1186.0,329.0,MOVE
