timestamp,x,y,state
1473943048646160,2645,2105,DOWN
1473943048681020,2652,2102,MOVE
1473943048694682,2684,2089,MOVE
1473943048711656,2696,2083,MOVE
1473943048727530,2716,2073,MOVE
1473943048744590,2734,2065,MOVE
1473943048761630,2769,2050,MOVE
1473943048779088,2794,2038,MOVE
1473943048794776,2832,2019,MOVE
1473943048796797,2861,2003,MOVE
1473943048811467,2877,1996,MOVE
1473943048812498,2908,1977,MOVE
1473943048844830,2939,1957,MOVE
1473943048861615,2991,1926,MOVE
1473943048863587,3025,1907,MOVE
1473943048879171,3071,1874,MOVE
1473943048912413,3120,1838,MOVE
1473943048912413,3120,1838,MOVE
1473943048928244,3152,1813,MOVE
1473943048929226,3181,1790,MOVE
1473943048931265,3195,1777,MOVE
1473943048945861,3226,1751,MOVE
1473943048962615,3256,1722,MOVE
1473943048965670,3270,1706,MOVE
1473943048979210,3297,1675,MOVE
1473943048985360,3309,1658,MOVE
1473943048995892,3320,1643,MOVE
1473943048997974,3331,1627,MOVE
1473943049012702,3351,1594,MOVE
1473943049018259,3361,1576,MOVE
1473943049029669,3371,1558,MOVE
1473943049032892,3381,1543,MOVE
1473943049038338,3390,1525,MOVE
1473943049079344,3412,1471,MOVE
1473943049094924,3429,1411,MOVE
1473943049095911,3437,1369,MOVE
1473943049129260,3447,1312,MOVE
1473943049144882,3452,1272,MOVE
1473943049145909,3453,1211,MOVE
1473943049163321,3452,1167,MOVE
1473943049178795,3450,1145,MOVE
1473943049179842,3444,1098,MOVE
1473943049196449,3437,1051,MOVE
1473943049199570,3433,1029,MOVE
1473943049213009,3422,984,MOVE
1473943049219249,3415,964,MOVE
1473943049229574,3408,941,MOVE
1473943049233640,3399,918,MOVE
1473943049246161,3382,872,MOVE
1473943049253542,3373,848,MOVE
1473943049262777,3364,825,MOVE
1473943049266902,3355,801,MOVE
1473943049294926,3345,777,MOVE
1473943049311731,3310,707,MOVE
1473943049328584,3267,635,MOVE
1473943049347226,3237,586,MOVE
1473943049362771,3185,514,MOVE
1473943049379248,3145,467,MOVE
1473943049380293,3085,399,MOVE
1473943049396847,3040,359,MOVE
1473943049414292,2995,322,MOVE
1473943049415332,2971,303,MOVE
1473943049429770,2923,270,MOVE
1473943049433912,2898,254,MOVE
1473943049447515,2850,226,MOVE
1473943049462882,2799,201,MOVE
1473943049467099,2775,191,MOVE
1473943049480791,2748,181,MOVE
1473943049481786,2721,172,MOVE
1473943049487358,2694,165,MOVE
1473943049529427,2619,147,MOVE
1473943049545871,2541,136,MOVE
1473943049562334,2489,131,MOVE
1473943049579052,2411,127,MOVE
1473943049595744,2359,131,MOVE
1473943049596832,2283,139,MOVE
1473943049613587,2232,148,MOVE
1473943049629036,2206,154,MOVE
1473943049630131,2155,165,MOVE
1473943049646673,2106,178,MOVE
1473943049648680,2081,185,MOVE
1473943049663949,2031,202,MOVE
1473943049667984,2007,211,MOVE
1473943049679519,1983,220,MOVE
1473943049682540,1959,230,MOVE
1473943049696023,1912,252,MOVE
1473943049702461,1888,264,MOVE
1473943049712936,1865,275,MOVE
1473943049715192,1841,287,MOVE
1473943049722608,1817,299,MOVE
1473943049762035,1750,340,MOVE
1473943049778719,1683,383,MOVE
1473943049795288,1643,415,MOVE
1473943049796275,1586,464,MOVE
1473943049813104,1551,498,MOVE
1473943049829867,1506,550,MOVE
1473943049846493,1479,588,MOVE
1473943049861938,1466,608,MOVE
1473943049862969,1442,648,MOVE
1473943049896141,1411,707,MOVE
1473943049896141,1411,707,MOVE
1473943049897222,1394,747,MOVE
1473943049903399,1385,769,MOVE
1473943049912837,1378,790,MOVE
1473943049915967,1372,811,MOVE
1473943049930681,1362,853,MOVE
1473943049935892,1358,875,MOVE
1473943049978711,1350,961,MOVE
1473943049996482,1351,1004,MOVE
1473943050012120,1359,1069,MOVE
1473943050028783,1368,1113,MOVE
1473943050045554,1386,1178,MOVE
1473943050046505,1401,1219,MOVE
1473943050064947,1427,1283,MOVE
1473943050064947,1427,1283,MOVE
1473943050079761,1447,1325,MOVE
